,date,time,loc,population,wd
475,20200720,19,11410585,57027.0963,119
476,20200720,20,11410585,53960.356,120
477,20200720,21,11410585,50249.7712,121
478,20200720,22,11410585,45052.3751,122
479,20200720,23,11410585,39452.137,123
480,20200721,00,11410585,38386.5584,200
481,20200721,01,11410585,37986.7471,201
482,20200721,02,11410585,37706.3191,202
483,20200721,03,11410585,37699.9914,203
484,20200721,04,11410585,37691.5408,204
485,20200721,05,11410585,38586.749,205
486,20200721,06,11410585,40980.7505,206
487,20200721,07,11410585,47898.0982,207
488,20200721,08,11410585,55804.4923,208
489,20200721,09,11410585,62423.5282,209
490,20200721,10,11410585,66618.5384,210
491,20200721,11,11410585,68026.8337,211
492,20200721,12,11410585,70269.3699,212
493,20200721,13,11410585,74298.2991,213
494,20200721,14,11410585,74500.8513,214
495,20200721,15,11410585,73010.5172,215
496,20200721,16,11410585,69608.9177,216
497,20200721,17,11410585,64013.9355,217
498,20200721,18,11410585,60308.6316,218
499,20200721,19,11410585,57890.1584,219
500,20200721,20,11410585,54669.0631,220
501,20200721,21,11410585,50919.5358,221
502,20200721,22,11410585,45440.4628,222
503,20200721,23,11410585,40152.3037,223
504,20200722,00,11410585,38771.6968,300
505,20200722,01,11410585,38140.4316,301
506,20200722,02,11410585,37866.3004,302
507,20200722,03,11410585,37481.4105,303
508,20200722,04,11410585,37555.1646,304
509,20200722,05,11410585,38776.2293,305
510,20200722,06,11410585,41107.3196,306
511,20200722,07,11410585,47600.8054,307
512,20200722,08,11410585,54708.8362,308
513,20200722,09,11410585,61360.0026,309
514,20200722,10,11410585,65611.6791,310
515,20200722,11,11410585,67520.5379,311
516,20200722,12,11410585,69897.9178,312
517,20200722,13,11410585,73608.8552,313
518,20200722,14,11410585,74570.0219,314
519,20200722,15,11410585,73631.7167,315
520,20200722,16,11410585,69206.2229,316
521,20200722,17,11410585,63363.8541,317
522,20200722,18,11410585,60723.749,318
523,20200722,19,11410585,59148.6906,319
524,20200722,20,11410585,55289.1976,320
525,20200722,21,11410585,51079.3654,321
526,20200722,22,11410585,45912.7541,322
527,20200722,23,11410585,39932.2992,323
528,20200723,00,11410585,39378.1401,400
529,20200723,01,11410585,39291.9969,401
530,20200723,02,11410585,38687.2595,402
531,20200723,03,11410585,38492.0347,403
532,20200723,04,11410585,38511.0018,404
533,20200723,05,11410585,39387.8436,405
534,20200723,06,11410585,41727.7623,406
535,20200723,07,11410585,47805.8463,407
536,20200723,08,11410585,55246.1778,408
537,20200723,09,11410585,61822.7431,409
538,20200723,10,11410585,66389.1939,410
539,20200723,11,11410585,67944.8606,411
540,20200723,12,11410585,69572.223,412
541,20200723,13,11410585,74021.2567,413
542,20200723,14,11410585,74578.5895,414
543,20200723,15,11410585,72589.6724,415
544,20200723,16,11410585,69020.7206,416
545,20200723,17,11410585,62858.7217,417
546,20200723,18,11410585,58923.6897,418
547,20200723,19,11410585,57342.4949,419
548,20200723,20,11410585,53750.5821,420
549,20200723,21,11410585,49965.8781,421
550,20200723,22,11410585,44962.2797,422
551,20200723,23,11410585,39987.242,423
552,20200724,00,11410585,38939.6713,500
553,20200724,01,11410585,38110.9432,501
554,20200724,02,11410585,37777.2409,502
555,20200724,03,11410585,37752.9697,503
556,20200724,04,11410585,38061.2376,504
557,20200724,05,11410585,39023.5138,505
558,20200724,06,11410585,41445.3962,506
559,20200724,07,11410585,47693.1961,507
560,20200724,08,11410585,55413.2894,508
561,20200724,09,11410585,61947.1099,509
562,20200724,10,11410585,66218.3623,510
563,20200724,11,11410585,67501.7326,511
564,20200724,12,11410585,69533.2408,512
565,20200724,13,11410585,71880.4428,513
566,20200724,14,11410585,72309.3088,514
567,20200724,15,11410585,70797.0567,515
568,20200724,16,11410585,67456.1582,516
569,20200724,17,11410585,63767.3856,517
570,20200724,18,11410585,61372.5192,518
571,20200724,19,11410585,60073.2186,519
572,20200724,20,11410585,57615.0272,520
573,20200724,21,11410585,54231.7518,521
574,20200724,22,11410585,48188.2075,522
575,20200724,23,11410585,42320.0945,523
576,20200725,00,11410585,41046.464,600
577,20200725,01,11410585,39291.5366,601
578,20200725,02,11410585,38369.0176,602
579,20200725,03,11410585,37812.9045,603
580,20200725,04,11410585,37696.2304,604
581,20200725,05,11410585,38195.1294,605
582,20200725,06,11410585,38821.4638,606
583,20200725,07,11410585,40278.4863,607
584,20200725,08,11410585,43104.2016,608
585,20200725,09,11410585,47504.7648,609
586,20200725,10,11410585,50741.4614,610
587,20200725,11,11410585,52596.2022,611
588,20200725,12,11410585,54547.4791,612
589,20200725,13,11410585,56899.4812,613
590,20200725,14,11410585,58276.1225,614
591,20200725,15,11410585,59233.7684,615
592,20200725,16,11410585,59168.2834,616
593,20200725,17,11410585,58640.1531,617
594,20200725,18,11410585,58464.3072,618
595,20200725,19,11410585,57514.5388,619
596,20200725,20,11410585,54707.0762,620
597,20200725,21,11410585,51457.6258,621
598,20200725,22,11410585,46716.6102,622
599,20200725,23,11410585,41364.2051,623
600,20200726,00,11410585,40552.8309,700
601,20200726,01,11410585,39248.201,701
602,20200726,02,11410585,38490.6531,702
603,20200726,03,11410585,38005.7596,703
604,20200726,04,11410585,37489.4411,704
605,20200726,05,11410585,37519.5606,705
606,20200726,06,11410585,37833.5239,706
607,20200726,07,11410585,38000.7588,707
608,20200726,08,11410585,39300.6673,708
609,20200726,09,11410585,41234.978,709
610,20200726,10,11410585,44181.8551,710
611,20200726,11,11410585,46624.2289,711
612,20200726,12,11410585,48925.8657,712
613,20200726,13,11410585,51424.5772,713
614,20200726,14,11410585,52874.3256,714
615,20200726,15,11410585,53397.545,715
616,20200726,16,11410585,53321.9919,716
617,20200726,17,11410585,52991.0115,717
618,20200726,18,11410585,52864.2391,718
619,20200726,19,11410585,51209.4109,719
620,20200726,20,11410585,48182.0352,720
621,20200726,21,11410585,45319.3137,721
622,20200726,22,11410585,41953.6741,722
623,20200726,23,11410585,38346.7742,723
624,20200727,00,11410585,37566.4356,100
625,20200727,01,11410585,37277.0801,101
626,20200727,02,11410585,36983.7719,102
627,20200727,03,11410585,36874.9394,103
628,20200727,04,11410585,36982.4963,104
629,20200727,05,11410585,38089.9927,105
630,20200727,06,11410585,40625.6832,106
631,20200727,07,11410585,46775.0749,107
632,20200727,08,11410585,53839.9379,108
633,20200727,09,11410585,60934.615,109
634,20200727,10,11410585,65189.4808,110
635,20200727,11,11410585,66824.8004,111
636,20200727,12,11410585,67500.599,112
637,20200727,13,11410585,70528.1974,113
638,20200727,14,11410585,71778.1986,114
639,20200727,15,11410585,71017.3126,115
640,20200727,16,11410585,67364.4999,116
641,20200727,17,11410585,62145.7896,117
642,20200727,18,11410585,59990.3783,118
643,20200727,19,11410585,57216.8388,119
644,20200727,20,11410585,53905.4906,120
645,20200727,21,11410585,50266.1053,121
646,20200727,22,11410585,44594.8795,122
647,20200727,23,11410585,39565.6707,123
648,20200728,00,11410585,38451.1859,200
649,20200728,01,11410585,37854.8328,201
650,20200728,02,11410585,37460.1905,202
651,20200728,03,11410585,37374.8699,203
652,20200728,04,11410585,37527.2953,204
653,20200728,05,11410585,38572.1809,205
654,20200728,06,11410585,41095.1844,206
655,20200728,07,11410585,47728.1189,207
656,20200728,08,11410585,54957.9798,208
657,20200728,09,11410585,61966.6962,209
658,20200728,10,11410585,65949.7834,210
659,20200728,11,11410585,67582.6161,211
660,20200728,12,11410585,69423.9323,212
661,20200728,13,11410585,72120.2595,213
662,20200728,14,11410585,73552.0249,214
663,20200728,15,11410585,71927.2888,215
664,20200728,16,11410585,68364.0665,216
665,20200728,17,11410585,63300.8453,217
666,20200728,18,11410585,60291.5402,218
667,20200728,19,11410585,57741.071,219
668,20200728,20,11410585,54689.222,220
669,20200728,21,11410585,50977.1288,221
670,20200728,22,11410585,45557.5427,222
671,20200728,23,11410585,40118.0688,223
672,20200729,00,11410585,38721.0043,300
673,20200729,01,11410585,38108.0045,301
674,20200729,02,11410585,37594.7184,302
675,20200729,03,11410585,37530.9349,303
676,20200729,04,11410585,37631.7447,304
677,20200729,05,11410585,38765.2872,305
678,20200729,06,11410585,41299.0981,306
679,20200729,07,11410585,47806.1693,307
680,20200729,08,11410585,54597.9689,308
681,20200729,09,11410585,60640.4654,309
682,20200729,10,11410585,64984.4261,310
683,20200729,11,11410585,66801.2746,311
684,20200729,12,11410585,68349.9858,312
685,20200729,13,11410585,71616.6646,313
686,20200729,14,11410585,72804.676,314
687,20200729,15,11410585,71713.5459,315
688,20200729,16,11410585,68054.6421,316
689,20200729,17,11410585,63212.1051,317
690,20200729,18,11410585,60946.8706,318
691,20200729,19,11410585,58528.5748,319
692,20200729,20,11410585,55790.5784,320
693,20200729,21,11410585,51560.3333,321
694,20200729,22,11410585,45662.6604,322
695,20200729,23,11410585,39300.2072,323
696,20200730,00,11410585,38788.1394,400
697,20200730,01,11410585,38261.0323,401
698,20200730,02,11410585,37801.9585,402
699,20200730,03,11410585,37724.1237,403
700,20200730,04,11410585,37629.6826,404
